Día,Entrada,Salida,h:m,Tiempo,Tarifa (horaria),Pesos,Presupuesto,Approved,Estado,Billable,Customer,Project,Activity,Description,Comentario,Location,Tracking Number,Nombre de usuario,despejado
28.12.,10:00,11:20,1:20,1.33,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,"-seguimiento hp partner
-coordinar visita oficina salta",,,,acuervo,0
28.12.,09:12,10:05,0:52,0.87,36.56,31.74,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
27.12.,20:40,21:05,0:25,0.42,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Update HubSpot Germán Szapiro. OT89.,,,,lcolombo,0
27.12.,18:47,19:39,0:52,0.87,36.56,31.83,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
27.12.,18:00,20:40,2:40,2.67,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Charla con Germán Szapino.,,,,lcolombo,0
27.12.,15:40,16:10,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,"Actualización HubSpot
",,,,lcolombo,0
27.12.,15:34,18:27,2:52,2.88,36.56,105.27,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
27.12.,15:30,17:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,"hp partner (sin solucion)
landing(datalles)",,,,acuervo,0
27.12.,15:18,15:34,0:15,0.26,0.00,0.00,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
27.12.,14:53,15:18,0:25,0.42,36.56,15.40,,,open,%,Bitson,Bitson,Gestión Interna,,,,,nespino,0
27.12.,14:50,15:40,0:50,0.83,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Charla con Daiana Santangelo x ecommerce ortopedia en Mendoza. Update en HubSpot.,,,,lcolombo,0
27.12.,14:40,14:50,0:10,0.17,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Charla con @nespino sobre minutas.,,,,lcolombo,0
27.12.,13:30,15:30,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,landing cursos/ busqueda oficinas ,,,,acuervo,0
27.12.,13:30,18:00,4:30,4.50,28.00,126.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
27.12.,11:00,14:53,3:53,3.89,36.56,142.19,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
27.12.,10:30,13:00,2:30,2.50,28.00,70.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
27.12.,10:30,16:00,5:30,5.50,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,abrunacci,0
27.12.,10:00,13:00,3:00,3.00,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,"-Concretar visitas a las oficinas
-Check transferencias
-Check Mailchimp
-Intento retiro linea 1
-Landing detalles",,,,acuervo,0
27.12.,10:00,16:00,6:00,6.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,ddebonis,0
27.12.,09:30,13:15,3:45,3.75,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Actualización HubSpot. Revisión de tareas pendientes. Respuestas mails. Contactos posibles negocios.,,,,lcolombo,0
26.12.,17:30,20:11,2:41,2.69,36.56,98.23,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
26.12.,16:17,17:30,1:12,1.21,36.56,44.27,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
26.12.,16:17,16:17,0:00,0.00,36.56,0.03,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
26.12.,15:04,16:17,1:12,1.21,36.56,44.09,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
26.12.,15:00,18:30,3:30,3.50,28.00,98.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
26.12.,14:43,15:04,0:21,0.36,36.56,13.07,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
26.12.,14:14,14:43,0:28,0.48,36.56,17.46,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
26.12.,13:37,14:14,0:36,0.61,36.56,22.43,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
26.12.,13:00,15:00,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Kairos,Desarrollo,,,,,mmesmer,0
26.12.,12:50,16:10,3:20,3.33,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,concretar vistas a oficinas/  envio mailchimp ,,,,acuervo,0
26.12.,12:45,13:26,0:41,0.69,0.00,0.00,,,open,0%,Aptage,Aptage,Operativo,,,,,nespino,0
26.12.,12:30,15:00,2:30,2.50,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,ddebonis,0
26.12.,12:30,17:00,4:30,4.50,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,abrunacci,0
26.12.,10:50,12:20,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,acuervo,0
26.12.,10:50,12:30,1:40,1.67,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,ddebonis,0
26.12.,10:45,12:30,1:45,1.75,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,mmesmer,0
26.12.,10:45,12:30,1:45,1.75,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,Reunión semanal. Acuerdos sobre oficinas. Pre-selección anuncios de oficinas.,,,,lcolombo,0
26.12.,10:45,12:30,1:45,1.75,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,abrunacci,0
26.12.,10:30,12:30,2:00,2.00,36.56,73.12,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,nespino,0
26.12.,10:00,10:50,0:50,0.83,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,mailchimp,,,,acuervo,0
26.12.,10:00,10:45,0:45,0.75,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Charla con @ddebonis.,,,,lcolombo,0
26.12.,09:30,10:00,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Preparación reunión semanal.,,,,lcolombo,0
26.12.,08:00,10:50,2:50,2.83,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,ddebonis,0
25.12.,10:00,17:00,7:00,7.00,0.00,0.00,,,open,0%,Bitson,Bitson,FERIADO,,,,,ddebonis,0
22.12.,17:04,17:40,0:35,0.59,36.56,21.75,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
22.12.,17:00,17:30,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Charla con Lean y Marcos sobre proyecto de hormigonera,,,,hbrunacci,0
22.12.,17:00,17:30,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,mmesmer,0
22.12.,16:45,17:04,0:19,0.32,36.56,11.76,,,open,0%,Bitson,Bitson,Presupuesto,,,,,nespino,0
22.12.,16:00,18:00,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Conexión beagle display 16x2. Revisión conexión HDMI beagle. Update proyecto hormigonera a @marcosdmyr y @hbrunacci,,,,lcolombo,0
22.12.,15:30,17:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Kairos,Desarrollo,,,,,mmesmer,0
22.12.,15:00,16:45,1:45,1.75,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Reunion con PK,,,,hbrunacci,0
22.12.,14:32,16:45,2:12,2.22,36.56,81.00,,,open,0%,Aptage,Aptage,Operativo,,,,,nespino,0
22.12.,13:43,14:32,0:48,0.81,36.56,29.52,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
22.12.,13:40,17:30,3:50,3.83,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,instalacion keeweb/ agrego landing boton pago,,,,acuervo,0
22.12.,13:25,13:40,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,reenvió de mensaje para recordar la oferta de inscripción al curso python.,,,,acuervo,0
22.12.,13:20,15:00,1:40,1.67,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Documento para Qualia,,,,hbrunacci,0
22.12.,12:00,15:30,3:30,3.50,28.00,98.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
22.12.,11:00,12:55,1:55,1.92,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,"ver tareas administrativas con Ceci,(verificar carpetas, revisar traqueo de horas para retiros semanales y mensuales,retiro de linea 1(sin exito))",,,,acuervo,0
22.12.,10:59,13:20,2:21,2.36,36.56,86.37,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
22.12.,10:30,17:30,7:00,7.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,abrunacci,0
22.12.,10:00,13:50,3:50,3.84,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
22.12.,10:00,11:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,landing,,,,acuervo,0
22.12.,08:00,15:00,7:00,7.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,ddebonis,0
21.12.,18:57,20:46,1:49,1.82,36.56,66.72,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
21.12.,17:00,18:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Intercooperativo,FActtic,,,,hbrunacci,0
21.12.,14:30,18:00,3:30,3.50,28.00,98.00,,,open,0%,ECSA,Beagle SCA,Desarrollo,,,,,mmesmer,0
21.12.,14:25,17:33,3:08,3.14,36.56,114.92,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
21.12.,14:00,16:00,2:00,2.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Reunion,Demo Sprint 3,,,,lcolombo,0
21.12.,14:00,16:00,2:00,2.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Reunion,,,,,ddebonis,0
21.12.,14:00,16:00,2:00,2.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Demo,demo,,,,abrunacci,0
21.12.,13:30,17:00,3:30,3.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,"Armado de cables para display Beagle
charla con Anabel de Emetech",,,,hbrunacci,0
21.12.,10:30,14:00,3:30,3.50,0.00,0.00,,,open,0%,Bitson,Kairos,Desarrollo,,,,,mmesmer,0
21.12.,10:10,14:24,4:14,4.25,36.56,155.37,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
21.12.,10:00,13:02,3:02,3.04,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
21.12.,10:00,10:30,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,compra de display,,,,hbrunacci,0
21.12.,10:00,12:00,2:00,2.00,0.00,0.00,,,open,0%,ECSA,Servidores,Gestión Comercial,Cotización detallada Salas Audiencia CBA.,,,,lcolombo,0
21.12.,09:30,12:30,3:00,3.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,DevOps,Deploy,,,,abrunacci,0
21.12.,08:00,14:00,6:00,6.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,ddebonis,0
20.12.,11:00,18:00,7:00,7.00,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Transformación bitson,,,,lcolombo,0
20.12.,11:00,18:30,7:30,7.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
20.12.,11:00,18:00,7:00,7.00,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,,,,,hbrunacci,0
20.12.,10:30,18:30,8:00,8.00,36.56,292.48,,,open,0%,Bitson,Bitson,Capacitación,,,,,nespino,0
20.12.,10:10,18:00,7:50,7.83,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,Capacitacion TOLE,,,,abrunacci,0
20.12.,10:00,18:00,8:00,8.00,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,capacitacion Tole,,,,acuervo,0
20.12.,10:00,18:00,8:00,8.00,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,,,,,mmesmer,0
20.12.,00:29,03:12,2:42,2.71,36.56,99.12,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
19.12.,23:35,01:26,1:51,1.86,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
19.12.,20:44,22:32,1:48,1.81,36.56,66.08,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
19.12.,20:30,22:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
19.12.,19:15,22:45,3:30,3.50,0.00,0.00,,,open,0%,ECSA,Servidores,Gestión Comercial,Cotización Venta de Equipos para Salas de Audiencia del Poder Judicial de Cördoba.,,,,lcolombo,0
19.12.,18:25,20:25,2:00,2.00,36.56,73.12,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
19.12.,18:00,18:37,0:37,0.62,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
19.12.,16:00,18:00,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Kairos,Gestión Comercial,"Reunión con @skajms y @marcosdmyr en Devecoop planificación de features, flyer y responsabilidades.",,,,lcolombo,0
19.12.,14:35,17:40,3:04,3.07,36.56,112.30,,,open,0%,Aptage,Aptage,Operativo,,,,,nespino,0
19.12.,14:30,18:00,3:30,3.50,0.00,0.00,,,open,0%,Bitson,Kairos,Desarrollo,,,,,mmesmer,0
19.12.,14:23,14:35,0:12,0.20,36.56,7.44,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
19.12.,14:00,15:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
19.12.,14:00,15:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,"Reunión con @santichola, @cuberti y @malecuervo x Administración 2018.",,,,lcolombo,0
19.12.,11:45,13:30,1:45,1.75,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,landing,,,,acuervo,0
19.12.,11:00,13:30,2:30,2.50,28.00,70.00,,,open,0%,Bitson,Kairos,Desarrollo,,,,,mmesmer,0
19.12.,10:15,13:41,3:26,3.43,36.56,125.53,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
19.12.,10:00,10:15,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Planificación semanal,,,,lcolombo,0
19.12.,10:00,11:25,1:25,1.42,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,landing cambios urgentes,,,,acuervo,0
19.12.,10:00,17:00,7:00,7.00,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,ddebonis,0
19.12.,10:00,17:30,7:30,7.50,0.00,0.00,,,open,0%,Andes Líneas Aéreas,Andes,Desarrollo,,,,,abrunacci,0
19.12.,09:30,12:31,3:01,3.02,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
19.12.,08:45,10:00,1:15,1.25,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,tarea de responsabilidad.,,,,lcolombo,0
19.12.,01:48,02:12,0:24,0.41,36.56,15.12,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
19.12.,01:23,01:47,0:24,0.40,36.56,14.71,,,open,%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
18.12.,23:42,00:51,1:08,1.14,0.00,0.00,,,open,%,Aptage,Aptage,Operativo,,,,,nespino,0
18.12.,23:24,23:40,0:15,0.26,36.56,9.58,,,open,%,Bitson,Bitson,Presupuesto,,,,,nespino,0
18.12.,19:30,22:00,2:30,2.50,0.00,0.00,,,open,0%,Bitson,Kairos,Desarrollo,,,,,mmesmer,0
18.12.,16:49,20:05,3:15,3.25,36.56,118.98,,,open,0%,INFD,INFD (Ministerio de Educación),Operativo,,,,,nespino,0
18.12.,16:30,17:42,1:12,1.20,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
18.12.,16:30,18:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Venta de equipos ECSA (Taborda). ,,,,lcolombo,0
18.12.,14:00,16:10,2:10,2.17,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
18.12.,14:00,16:25,2:25,2.42,36.56,88.35,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,nespino,0
18.12.,14:00,16:30,2:30,2.50,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,Reunión semanal,,,,lcolombo,0
18.12.,14:00,16:15,2:15,2.25,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,acuervo,0
