,Entrada,Salida,Customer,Project,Activity,Description,Comentario,socio,Duration
969,2017-05-11 14:30:00,2017-05-11 15:10:00,Bitson,Bitson,Gestión Interna,Flujo de caja con @cuberti. Charla sobre Domi y temas de reunión semanal.,,lcolombo,40.0
970,2017-05-11 14:15:00,2017-05-11 14:30:00,ECSA,Beagle SCA,Operativo,Charla con @nespino por Máquina de estados y controlador de molinete.,,lcolombo,15.0
971,2017-05-11 14:05:00,2017-05-11 14:29:00,ECSA,Beagle SCA,Operativo,Revision proceso maquina de estados con @lecovi,,nespino,24.0
972,2017-05-11 14:00:00,2017-05-11 17:00:00,Betterez,Betterez,Desarrollo,,,abrunacci,180.0
973,2017-05-11 13:53:00,2017-05-11 14:05:00,ECSA,Talleres - SCA,Operativo,,,nespino,12.0
974,2017-05-11 13:50:00,2017-05-11 14:15:00,Bitson,Bitson,Gestión Interna,Pagos de ECSA y gestión de papeles de asamblea con @cuberti.,,lcolombo,25.0
975,2017-05-11 13:00:00,2017-05-11 15:00:00,ECSA,Sigas SCA,Desarrollo,,,ddebonis,120.0
976,2017-05-11 13:00:00,2017-05-11 14:00:00,Bitson,Bitson,Almuerzo,,,abrunacci,60.0
977,2017-05-11 12:20:00,2017-05-11 15:04:00,Bitson,Bitson,Gestión Interna,,,cuberti,164.0
978,2017-05-11 12:00:00,2017-05-11 13:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
979,2017-05-11 10:00:00,2017-05-11 13:00:00,Betterez,Betterez,Desarrollo,"6430 / 6413
",,abrunacci,180.0
980,2017-05-11 10:00:00,2017-05-11 12:20:00,Bitson,Bitson,Gestión Interna,"ECSA —> cheques, y firmo la factura 
MIn de trabajo —> Fede Montes, le lleve el papel, ya esta todo línea I, y salude a mi BFF Marisa
Inaes —> listo AGO 
Copiado libros —> ya estan listos, lo firman los chicos y mañana al boga.",,cuberti,140.0
981,2017-05-11 09:45:00,2017-05-11 10:45:00,ECSA,Beagle SCA,Operativo,Simulando una máquina de estados del molinete.,,lcolombo,60.0
982,2017-05-10 16:00:00,2017-05-10 20:35:00,ECSA,Beagle SCA,Operativo,Fixeando comunicación con el server.,,lcolombo,275.0
983,2017-05-10 15:45:00,2017-05-10 16:00:00,Bitson,Bitson,Gestión Interna,Cierre de Circuito OCA y Acta de Asamblea (envío a @cuberti).,,lcolombo,15.0
984,2017-05-10 15:15:00,2017-05-10 15:45:00,Bitson,Bitson,Gestión Interna,"Baja de Esteban, pagos pendiente de monotributo e ingresos brutos.",,lcolombo,30.0
985,2017-05-10 14:45:00,2017-05-10 15:15:00,Bitson,Bitson,Gestión Interna,Circuito OCA,,lcolombo,30.0
986,2017-05-10 14:15:00,2017-05-10 14:45:00,Bitson,Bitson,Gestión Interna,Revisión de papeles y copias en libros después de la AGO para la presentación en INAES con @cuberti.,,lcolombo,30.0
987,2017-05-10 14:10:00,2017-05-10 16:40:00,Bitson,Bitson,Gestión Interna,,,cuberti,150.0
988,2017-05-10 14:00:00,2017-05-10 17:00:00,ECSA,Sigas SCA,Desarrollo,,,ddebonis,180.0
989,2017-05-10 14:00:00,2017-05-10 18:00:00,Betterez,Betterez,Desarrollo,,,abrunacci,240.0
990,2017-05-10 13:45:00,2017-05-10 14:15:00,Bitson,Bitson,Gestión Interna,Creación de trabajos@listas.bitson.com.ar,,lcolombo,30.0
991,2017-05-10 13:30:00,2017-05-10 21:44:00,ECSA,Talleres - SCA,Operativo,Reporte,,nespino,494.0
992,2017-05-10 13:30:00,2017-05-10 14:00:00,Bitson,Bitson,Gestión Comercial,"Mail a Cise
Mail a Sanyo
Actualización de Taiga
Mail requerimientos Caselli",,hbrunacci,30.0
993,2017-05-10 13:06:00,2017-05-10 14:00:00,Bitson,Bitson,Almuerzo,,,abrunacci,54.0
994,2017-05-10 13:00:00,2017-05-10 14:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
995,2017-05-10 11:30:00,2017-05-10 13:30:00,Bitson,Bitson,Operativo,"Server PFA

Generar copia de la base de datos e implementarla en eñ servidor",,hbrunacci,120.0
996,2017-05-10 10:00:00,2017-05-10 13:05:00,Betterez,Betterez,Desarrollo,6413,,abrunacci,185.0
997,2017-05-10 09:30:00,2017-05-10 11:30:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,120.0
998,2017-05-09 22:05:00,2017-05-09 00:35:00,ECSA,Beagle SCA,Operativo,Intento de nueva FSM.,,lcolombo,-1290.0
999,2017-05-09 20:15:00,2017-05-09 21:15:00,ECSA,Beagle SCA,Operativo,"Separación de Threads, docstrings and performance.",,lcolombo,60.0
1000,2017-05-09 18:15:00,2017-05-09 19:30:00,ECSA,Beagle SCA,Operativo,Mejorando obtención de parámetros de red y muestra de mensajes en el display.,,lcolombo,75.0
1001,2017-05-09 17:30:00,2017-05-09 18:15:00,Bitson,Bitson,Gestión Interna,Carta Documento a imasTec con @edebonis.,,lcolombo,45.0
1002,2017-05-09 17:00:00,2017-05-09 17:30:00,ECSA,Sigas SCA,Operativo,Revisando código con @ddebonis,,lcolombo,30.0
1003,2017-05-09 16:00:00,2017-05-09 17:00:00,Bitson,Bitson,Gestión Interna,Firma de papeles @edebonis,,lcolombo,60.0
1004,2017-05-09 15:41:00,2017-05-09 17:11:00,SanyoJafep,Magento SanyoJafep,Operativo,,,nespino,90.0
1005,2017-05-09 15:30:00,2017-05-09 15:41:00,ECSA,Sigas SCA,Operativo,Investigación duplicados WBGList en Rural,,nespino,11.0
1006,2017-05-09 15:00:00,2017-05-09 16:00:00,ECSA,Sigas SCA,Operativo,"Instalación SCA con @ddebonis
",,lcolombo,60.0
1007,2017-05-09 15:00:00,2017-05-09 15:30:00,ECSA,Sigas SCA,Operativo,,,nespino,30.0
1008,2017-05-09 15:00:00,2017-05-09 15:35:00,Bitson,Bitson,Operativo,,,hbrunacci,35.0
1009,2017-05-09 14:30:00,2017-05-09 18:00:00,ECSA,Sigas SCA,Desarrollo,Seteo de ambiente y analisis del sistema,,ddebonis,210.0
1010,2017-05-09 14:30:00,2017-05-09 15:00:00,ECSA,Beagle SCA,Operativo,Conexión beagle-controlador,,lcolombo,30.0
1011,2017-05-09 14:00:00,2017-05-09 15:00:00,Betterez,Betterez,Desarrollo,"6415 / 6413
",,abrunacci,60.0
1012,2017-05-09 14:00:00,2017-05-09 15:00:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,60.0
1013,2017-05-09 13:20:00,2017-05-09 14:00:00,Bitson,Bitson,Almuerzo,,,hbrunacci,40.0
1014,2017-05-09 13:10:00,2017-05-09 14:00:00,Bitson,Bitson,Almuerzo,,,abrunacci,50.0
1015,2017-05-09 13:00:00,2017-05-09 14:30:00,Bitson,Bitson,Almuerzo,,,ddebonis,90.0
1016,2017-05-09 12:45:00,2017-05-09 13:25:00,ECSA,Sigas SCA,Operativo,Implementación en la rural,,nespino,40.0
1017,2017-05-09 10:15:00,2017-05-09 11:25:00,Bitson,Bitson,Gestión Interna,Armado de Circuito Operativo/Comercial/Administrativo,,lcolombo,70.0
1018,2017-05-09 10:00:00,2017-05-09 13:20:00,Bitson,Bitson,Gestión Comercial,"Presupuesto Proyectores
Aprendizaje Microglobal
Encuesta Karaoke
Envio de presupuesto
Mail a imastec
Mail a santi",,hbrunacci,200.0
1019,2017-05-09 10:00:00,2017-05-09 14:15:00,Bitson,Bitson,Gestión Interna,,,cuberti,255.0
1020,2017-05-09 09:57:00,2017-05-09 13:10:00,Betterez,Betterez,Desarrollo,6415 / 6413,,abrunacci,193.0
1021,2017-05-09 09:00:00,2017-05-09 13:00:00,Bitson,Cromi,Desarrollo,Responsive DOMI,,ddebonis,240.0
1022,2017-05-08 17:27:00,2017-05-08 18:12:00,AllAccess,API AllAccess,Operativo,,,nespino,45.0
1023,2017-05-08 16:43:00,2017-05-08 17:07:00,AllAccess,API AllAccess,Operativo,,,nespino,24.0
1024,2017-05-08 16:30:00,2017-05-08 17:30:00,Bitson,Bitson,Operativo,Charla con P.Godoy/C.Uberti/D.Code Tema Imastec,,hbrunacci,60.0
1025,2017-05-08 16:05:00,2017-05-08 16:40:00,AllAccess,API AllAccess,Operativo,,,nespino,35.0
1026,2017-05-08 15:50:00,2017-05-08 17:15:00,ECSA,Beagle SCA,Operativo,Revisando proceso de comunicacion Beagle-Controlador,,lcolombo,85.0
1027,2017-05-08 15:30:00,2017-05-08 16:00:00,Bitson,Cromi,Desarrollo,Responsive DOMI,,ddebonis,30.0
1028,2017-05-08 14:38:00,2017-05-08 16:05:00,Bitson,Bitson,Gestión Interna,,,nespino,87.0
1029,2017-05-08 14:30:00,2017-05-08 15:30:00,Bitson,Bitson,Gestión Interna,Reunion Semanal,,ddebonis,60.0
1030,2017-05-08 14:30:00,2017-05-08 15:50:00,Bitson,Bitson,Reunion,Reunión Semanal,,lcolombo,80.0
1031,2017-05-08 14:19:00,2017-05-08 14:38:00,AllAccess,API AllAccess,Operativo,,,nespino,19.0
1032,2017-05-08 14:15:00,2017-05-08 18:09:00,Bitson,Bitson,Gestión Interna,"Retiros
Juicio AFA
Documentación INAES
Reclamo ECSA",,cuberti,234.0
1033,2017-05-08 14:10:00,2017-05-08 15:35:00,Bitson,Bitson,Reunion,,,hbrunacci,85.0
1034,2017-05-08 13:45:00,2017-05-08 14:30:00,ECSA,Beagle SCA,Operativo,Configuración Beagle. Turnstile Init Messages. Instalación Controlador.,,lcolombo,45.0
1035,2017-05-08 13:40:00,2017-05-08 14:18:00,AllAccess,API AllAccess,Operativo,,,nespino,38.0
1036,2017-05-08 13:33:00,2017-05-08 14:10:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,37.0
1037,2017-05-08 13:22:00,2017-05-08 18:00:00,Betterez,Betterez,Desarrollo,6389 / 6412,,abrunacci,278.0
1038,2017-05-08 13:15:00,2017-05-08 14:30:00,Bitson,Cromi,Desarrollo,Responsive DOMI,,ddebonis,75.0
1039,2017-05-08 13:03:00,2017-05-08 13:22:00,Bitson,Bitson,Almuerzo,,,abrunacci,19.0
1040,2017-05-08 13:02:00,2017-05-08 13:32:00,Bitson,Bitson,Almuerzo,,,hbrunacci,30.0
1041,2017-05-08 13:00:00,2017-05-08 13:15:00,Bitson,Bitson,Almuerzo,,,ddebonis,15.0
1042,2017-05-08 10:00:00,2017-05-08 12:00:00,ECSA,Beagle SCA,Operativo,"Pruebas zmq. Instalación Py3 ""nativo"". Configuración PostgreSQL",,lcolombo,120.0
1043,2017-05-08 10:00:00,2017-05-08 13:03:00,Betterez,Betterez,Desarrollo,"6389
",,abrunacci,183.0
1044,2017-05-08 10:00:00,2017-05-08 13:05:00,Bitson,Bitson,Gestión Comercial,Mail de ojeda. Presupuesto Dashboard,,hbrunacci,185.0
1045,2017-05-08 09:00:00,2017-05-08 13:00:00,Bitson,Cromi,Desarrollo,"Responsive DOMI
",,ddebonis,240.0
1046,2017-05-07 13:30:00,2017-05-07 15:40:00,ECSA,Beagle SCA,Operativo,Pruebas zmq,,lcolombo,130.0
1047,2017-05-07 11:35:00,2017-05-07 12:30:00,ECSA,Beagle SCA,Operativo,Pruebas zmq,,lcolombo,55.0
1048,2017-05-06 19:15:00,2017-05-06 22:35:00,ECSA,Beagle SCA,Operativo,Systemd startup messages,,lcolombo,200.0
1049,2017-05-06 14:15:00,2017-05-06 17:20:00,Bitson,Bitson,Intercooperativo,,,nespino,185.0
1050,2017-05-06 10:45:00,2017-05-06 17:30:00,Bitson,Bitson,Reunion,Plenario,,hbrunacci,405.0
1051,2017-05-05 23:17:00,2017-05-05 03:43:00,Betterez,Betterez,Desarrollo,6389,,abrunacci,-1174.0
1052,2017-05-05 14:51:00,2017-05-05 16:29:00,Betterez,Betterez,Desarrollo,,,abrunacci,98.0
1053,2017-05-05 12:00:00,2017-05-05 16:04:00,Bitson,Bitson,Gestión Interna,"Linea I - Fede Montes, planilla de excedentes, CNCT -
Actualización planillas
Datos facturación
Papeles post-asamblea",,cuberti,244.0
1054,2017-05-05 11:00:00,2017-05-05 15:30:00,Bitson,Bitson,Reunion,Plenario,,hbrunacci,270.0
1055,2017-05-05 10:30:00,2017-05-05 11:00:00,Bitson,Bitson,Transporte,,,hbrunacci,30.0
1056,2017-05-05 10:00:00,2017-05-05 18:00:00,Bitson,Bitson,Intercooperativo,Plenario FACTTIC,,lcolombo,480.0
1057,2017-05-05 10:00:00,2017-05-05 19:00:00,Bitson,Bitson,Intercooperativo,,,nespino,540.0
1058,2017-05-05 10:00:00,2017-05-05 10:30:00,Bitson,Bitson,Gestión Interna,llevar escrito a Pablo ,,hbrunacci,30.0
1059,2017-05-05 09:00:00,2017-05-05 17:00:00,Bitson,Bitson,Intercooperativo,Plenario Facttic,,ddebonis,480.0
1060,2017-05-05 08:01:00,2017-05-05 14:50:00,Betterez,Betterez,Desarrollo,"6351 / 6372 / 6389
",,abrunacci,409.0
1061,2017-05-04 15:50:00,2017-05-04 18:00:00,ECSA,Beagle SCA,Operativo,Probando display y sincronización,,lcolombo,130.0
1062,2017-05-04 15:32:00,2017-05-04 21:20:00,ECSA,Banfield,Operativo,,,nespino,348.0
1063,2017-05-04 15:10:00,2017-05-04 15:50:00,Bitson,Bitson,Intercooperativo,Charla con @santichola x Plenario.,,lcolombo,40.0
1064,2017-05-04 14:50:00,2017-05-04 15:10:00,Bitson,Bitson,Gestión Comercial,Plan de negocios. Puesta en valor. Estimación de @hbrunacci.,,lcolombo,20.0
1065,2017-05-04 14:30:00,2017-05-04 14:50:00,Bitson,Cromi,Operativo,Instalación Front,,lcolombo,20.0
1066,2017-05-04 14:00:00,2017-05-04 14:36:00,ECSA,Banfield,Operativo,,,nespino,36.0
1067,2017-05-04 13:50:00,2017-05-04 14:30:00,Bitson,Bitson,Gestión Interna,"Novedades con @cuberti. Línea 1, renovación fallida. Documento Plenario FACTTIC.",,lcolombo,40.0
1068,2017-05-04 13:15:00,2017-05-04 17:00:00,Bitson,Bitson,Desarrollo,,,ddebonis,225.0
1069,2017-05-04 13:00:00,2017-05-04 13:15:00,Bitson,Bitson,Almuerzo,,,ddebonis,15.0
1070,2017-05-04 10:20:00,2017-05-04 14:15:00,Bitson,Bitson,Gestión Interna,,,cuberti,235.0
1071,2017-05-04 10:00:00,2017-05-04 15:00:00,Bitson,Bitson,Gestión Comercial,"Planilla Domi
Propuesta Registros
Google ads
Almuerzo
Call Cristian",,hbrunacci,300.0
1072,2017-05-04 09:30:00,2017-05-04 17:00:00,Betterez,Betterez,Desarrollo,"6351 / 6372 / 6389
",,abrunacci,450.0
1073,2017-05-04 09:00:00,2017-05-04 13:00:00,Bitson,Bitson,Desarrollo,React seed,,ddebonis,240.0
1074,2017-05-03 23:00:00,2017-05-03 01:00:00,ECSA,Beagle SCA,Operativo,Entendiendo el código,,lcolombo,-1320.0
1075,2017-05-03 22:06:00,2017-05-03 23:13:00,AllAccess,API AllAccess,Operativo,,,nespino,67.0
1076,2017-05-03 21:39:00,2017-05-03 21:53:00,AllAccess,API AllAccess,Operativo,,,nespino,14.0
1077,2017-05-03 20:00:00,2017-05-03 21:26:00,AllAccess,API AllAccess,Operativo,,,nespino,86.0
1078,2017-05-03 16:00:00,2017-05-03 21:00:00,Bitson,Bitson,Intercooperativo,Reunión en Devecoop con Fiqus y Unixono,,lcolombo,300.0
1079,2017-05-03 16:00:00,2017-05-03 19:00:00,Bitson,Bitson,Intercooperativo,Devecoop,,cuberti,180.0
1080,2017-05-03 15:45:00,2017-05-03 18:29:00,AllAccess,API AllAccess,Operativo,,,nespino,164.0
1081,2017-05-03 15:00:00,2017-05-03 17:30:00,Bitson,Cromi,Desarrollo,,,ddebonis,150.0
1082,2017-05-03 15:00:00,2017-05-03 16:00:00,ECSA,Beagle SCA,Operativo,Know-how con @edebonis,,lcolombo,60.0
1083,2017-05-03 15:00:00,2017-05-03 17:38:00,Betterez,Betterez,Desarrollo,"6351 / 6372 / 6389


",,abrunacci,158.0
1084,2017-05-03 15:00:00,2017-05-03 17:00:00,Bitson,Bitson,Gestión Comercial,"Plantilla Domi
Ayuda a Nahuel con APi y pruebas ",,hbrunacci,120.0
1085,2017-05-03 14:30:00,2017-05-03 15:00:00,Bitson,Bitson,Almuerzo,,,abrunacci,30.0
1086,2017-05-03 14:00:00,2017-05-03 15:00:00,Bitson,Bitson,Gestión Interna,Planificacion semanal,,ddebonis,60.0
1087,2017-05-03 14:00:00,2017-05-03 15:00:00,Bitson,Bitson,Reunion,Definición consejo administración 2017,,lcolombo,60.0
1088,2017-05-03 14:00:00,2017-05-03 15:14:00,Bitson,Bitson,Gestión Interna,,,nespino,74.0
1089,2017-05-03 14:00:00,2017-05-03 15:00:00,Bitson,Bitson,Gestión Interna,reunion operativa,,hbrunacci,60.0
1090,2017-05-03 14:00:00,2017-05-03 16:00:00,Bitson,Bitson,Reunion,Reunion bitson ,,cuberti,120.0
1091,2017-05-03 13:00:00,2017-05-03 14:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
1092,2017-05-03 10:00:00,2017-05-03 13:30:00,Bitson,Bitson,Gestión Comercial,Reunion con Santiago,,hbrunacci,210.0
1093,2017-05-03 09:00:00,2017-05-03 13:00:00,Bitson,Cromi,Desarrollo,React a ES6,,ddebonis,240.0
1094,2017-05-03 09:00:00,2017-05-03 14:00:00,Betterez,Betterez,Desarrollo,"6351 / 6372
",,abrunacci,300.0
1095,2017-05-02 20:30:00,2017-05-02 21:30:00,Bitson,Bitson,Gestion Contable,Calculo de retiros abril 2017 sobre corrección en DDJJ y considerando horas trackeadas.,,lcolombo,60.0
1096,2017-05-02 17:00:00,2017-05-02 19:30:00,Bitson,Bitson,Intercooperativo,Reunión con @cris.candia y @gabhge,,lcolombo,150.0
1097,2017-05-02 15:32:00,2017-05-02 16:00:00,Bitson,Bitson,Gestión Comercial,"Se contacto a Vélez para ver el avance del presupuesto.
Se hablo con Cristian Candia de Devecoop se coordino reunión para mañana miércoles 16.30
Se mando mensaje a Pablo Gutierrez para coordinar reunion tema Encuestas
 

",,hbrunacci,28.0
1098,2017-05-02 15:00:00,2017-05-02 15:20:00,ECSA,Beagle SCA,Operativo,Testing Display SCA.,,lcolombo,20.0
1099,2017-05-02 15:00:00,2017-05-02 15:30:00,Bitson,Bitson,Almuerzo,,,hbrunacci,30.0
1100,2017-05-02 14:30:00,2017-05-02 18:00:00,Betterez,Betterez,Desarrollo,"6351 / 6372
",,abrunacci,210.0
1101,2017-05-02 14:00:00,2017-05-02 15:00:00,Bitson,Bitson,Reunion,MDS: Manos a la obra con Rodrigo y Juan.,,lcolombo,60.0
1102,2017-05-02 14:00:00,2017-05-02 15:00:00,Bitson,Manos a la obra,Reunion,"Reunión con Rodrigo y Juan

Se acordó;
Realizar un documento explicativo de todo los procesos realizados y que faltan realizar
Se necesita la redaccion de todos los documentos nuevamente con la firma de las nuevas autoridades
Armado de un Grafico de tiempos
Y adjuntar cartas de Compromiso
",,hbrunacci,60.0
1103,2017-05-02 13:45:00,2017-05-02 14:00:00,Bitson,Bitson,Gestión Interna,Retiros Abril 2017,,lcolombo,15.0
1104,2017-05-02 13:32:00,2017-05-02 14:00:00,Bitson,Bitson,Gestión Interna,,,cuberti,28.0
1105,2017-05-02 13:30:00,2017-05-02 14:30:00,Bitson,Bitson,Almuerzo,,,abrunacci,60.0
1106,2017-05-02 13:15:00,2017-05-02 17:00:00,Bitson,Cromi,Desarrollo,React a ES6,,ddebonis,225.0
1107,2017-05-02 13:00:00,2017-05-02 13:15:00,Bitson,Bitson,Almuerzo,,,ddebonis,15.0
1108,2017-05-02 11:33:00,2017-05-02 13:23:00,Bitson,Bitson,Gestión Interna,,,cuberti,110.0
1109,2017-05-02 11:30:00,2017-05-02 14:00:00,AllAccess,API AllAccess,Operativo,,,nespino,150.0
1110,2017-05-02 11:00:00,2017-05-02 14:00:00,Bitson,Manos a la obra,Completar Requerimientos,"Transcripcion a documentos del drive de los avances realizados en el fin de semana sin internet
",,hbrunacci,180.0
1111,2017-05-02 10:15:00,2017-05-02 11:33:00,Bitson,Bitson,Gestión Interna,"Subsidios
Correo: carta documento Imastec


",,cuberti,78.0
1112,2017-05-02 10:00:00,2017-05-02 11:00:00,ECSA,Beagle SCA,Operativo,Agregando detalle a Display.c,,lcolombo,60.0
1113,2017-05-02 10:00:00,2017-05-02 13:30:00,Betterez,Betterez,Desarrollo,6351 / 6372,,abrunacci,210.0
1114,2017-05-02 09:00:00,2017-05-02 13:00:00,Bitson,Cromi,Desarrollo,React a ES6,,ddebonis,240.0
1115,2017-05-01 10:00:00,2017-05-01 18:00:00,Bitson,Bitson,FERIADO,,,abrunacci,480.0
1116,2017-05-01 09:00:00,2017-05-01 17:00:00,Bitson,Bitson,FERIADO,,,ddebonis,480.0
1117,2017-05-01 00:00:00,2017-05-01 06:00:00,Bitson,Bitson,Desarrollo,,,lcolombo,360.0
